ChEMBL ID;Name;UniProt Accessions;Type;Organism;Compounds;Activities;Tax ID;Species Group Flag
CHEMBL1898;Serotonin 1b (5-HT1b) receptor;P28222;SINGLE PROTEIN;Homo sapiens;2268;3085;9606;FALSE
CHEMBL214;Serotonin 1a (5-HT1a) receptor;P08908;SINGLE PROTEIN;Homo sapiens;9246;15316;9606;FALSE
CHEMBL3371;Serotonin 6 (5-HT6) receptor;P50406;SINGLE PROTEIN;Homo sapiens;6414;10124;9606;FALSE
CHEMBL225;Serotonin 2c (5-HT2c) receptor;P28335;SINGLE PROTEIN;Homo sapiens;7165;11942;9606;FALSE
CHEMBL1833;Serotonin 2b (5-HT2b) receptor;P41595;SINGLE PROTEIN;Homo sapiens;5395;10739;9606;FALSE
CHEMBL1983;Serotonin 1d (5-HT1d) receptor;P28221;SINGLE PROTEIN;Homo sapiens;2095;3130;9606;FALSE
CHEMBL3155;Serotonin 7 (5-HT7) receptor;P34969;SINGLE PROTEIN;Homo sapiens;4079;5835;9606;FALSE
CHEMBL1875;Serotonin 4 (5-HT4) receptor;Q13639;SINGLE PROTEIN;Homo sapiens;1033;2077;9606;FALSE
CHEMBL224;Serotonin 2a (5-HT2a) receptor;P28223;SINGLE PROTEIN;Homo sapiens;9084;15395;9606;FALSE
