"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL158402";"";"None";"264.44";"0";"3.78";"5c";"CN(C)CCSc1cccc(C2CCCCC2)n1";"Ki";"'='";"0.7";"nM";"9.15";"";"";"UO_0000065";"34.62";"0.69";"5.37";"56.76";"0";"CHEMBL620825";"Binding affinity towards human 5-hydroxytryptamine 7 receptor by the displacement of [3H]-5-HT radioligand from the cloned receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147426";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"CHEMBL3308072";"";"";"";"0.7"
"CHEMBL204171";"";"None";"369.53";"0";"4.22";"8h";"O=S(=O)(c1ccccc1)C1(CCCN2CCc3ccccc3C2)CCC1";"Ki";"'='";"8.0";"nM";"8.10";"";"";"UO_0000065";"21.91";"0.43";"3.88";"21.66";"0";"CHEMBL865587";"Displacement of [3H]5-HT from the cloned human 5-HT7 receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139656";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"CHEMBL3308072";"";"";"";"8.0"
"CHEMBL497749";"";"None";"439.58";"0";"3.34";"II";"COc1ccccc1N1CCN(CCCNS(=O)(=O)c2ccc3ccccc3c2)CC1";"Ki";"'='";"20.0";"nM";"7.70";"";"";"UO_0000065";"17.51";"0.34";"4.36";"12.44";"0";"CHEMBL1059153";"Binding affinity to human cloned 5HT7 receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154019";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307715";"";"";"";"20.0"
"CHEMBL550881";"";"None";"481.62";"0";"2.86";"12{2,3,4}";"COc1ccccc1N1CCN(C(=N)NCCCNS(=O)(=O)c2cccc3ccccc23)CC1";"Ki";"'='";"195.0";"nM";"6.71";"";"";"UO_0000065";"13.93";"0.27";"3.85";"6.86";"0";"CHEMBL1059153";"Binding affinity to human cloned 5HT7 receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154019";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307715";"";"";"";"195.0"
"CHEMBL2442272";"";"None";"305.13";"0";"1.93";"3c";"N=C1NC(=O)/C(=C\c2c[nH]c3ccc(Br)cc23)N1";"Ki";"'='";"512.0";"nM";"6.29";"";"";"UO_0000065";"20.62";"0.48";"4.36";"7.79";"0";"CHEMBL2445940";"Displacement of [3H]LSD from human recombinant 5HT7 receptor stably expressed in HEK cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2440075";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"CHEMBL3307715";"";"";"";"512.0"
"CHEMBL12389";"";"None";"374.55";"0";"3.97";"2";"C[C@@H]1CCCN(CC[C@@H](C)N(C)S(=O)(=O)c2cccc3ccccc23)C1";"Ki";"'='";"125.89";"nM";"6.90";"";"";"UO_0000065";"18.42";"0.36";"2.93";"16.99";"0";"CHEMBL619901";"Binding affinity towards cloned human 5-hydroxytryptamine 7 receptor expressed in HEK 293 cells using [3H]5-CT";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131479";"1";"Scientific Literature";"J Med Chem";"1998";"CHEMBL3307715";"";"";"";"-6.9"
"CHEMBL159143";"";"None";"280.44";"0";"2.89";"5d";"CN(C)CCSc1cccc(C2(O)CCCCC2)n1";"Ki";"'='";"7.2";"nM";"8.14";"";"";"UO_0000065";"29.04";"0.59";"5.25";"22.39";"0";"CHEMBL620825";"Binding affinity towards human 5-hydroxytryptamine 7 receptor by the displacement of [3H]-5-HT radioligand from the cloned receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147426";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"CHEMBL3308072";"";"";"";"7.2"
"CHEMBL392401";"";"None";"264.33";"0";"3.11";"10";"Oc1cccc(C2NCCc3c2[nH]c2ccccc32)c1";"Ki";"'='";"1100.0";"nM";"5.96";"";"";"UO_0000065";"22.54";"0.41";"2.85";"12.40";"0";"CHEMBL886703";"Displacement of [3H]5CT from 5HT7 receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139165";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307715";"";"";"";"1.1"
"CHEMBL441356";"";"None";"354.43";"0";"3.23";"5";"COc1ccc2c(c1OC)C[N+]1(C)CCc3cc4c(cc3C1C2)OCO4";"Ki";"'='";"5000.0";"nM";"5.30";"";"";"UO_0000065";"14.96";"0.28";"2.07";"14.36";"0";"CHEMBL886703";"Displacement of [3H]5CT from 5HT7 receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139165";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307715";"";"";"";"5.0"
"CHEMBL30713";"";"None";"174.25";"0";"2.06";"17, AMT, alpha-MT";"CC(N)Cc1c[nH]c2ccccc12";"Ki";"'='";"102.33";"nM";"6.99";"";"";"UO_0000065";"40.11";"0.73";"4.93";"16.72";"0";"CHEMBL2396014";"Displacement of [3H]LSD from human recombinant 5-HT7 receptor expressed in HEK293 cells after 1 to 1.5 hrs by scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2390840";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"CHEMBL3307715";"";"";"";"6.99"
"CHEMBL380511";"";"None";"377.47";"0";"4.29";"12c";"CC(C)(CCCN1CCCC(C(F)(F)F)C1)S(=O)(=O)c1ccccc1";"Ki";"'='";"54.0";"nM";"7.27";"";"";"UO_0000065";"19.25";"0.40";"2.98";"19.44";"0";"CHEMBL865587";"Displacement of [3H]5-HT from the cloned human 5-HT7 receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139656";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"CHEMBL3308072";"";"";"";"54.0"
"CHEMBL273246";"";"None";"414.55";"0";"4.08";"5";"N#Cc1ccccc1N1CCN(CCCCC23CCCc4cccc(c42)NC3=O)CC1";"Ki";"'='";"3.802";"nM";"8.42";"";"";"UO_0000065";"20.31";"0.37";"4.34";"14.18";"0";"CHEMBL619897";"Compound was evaluated for its ability to displace [3H]5-CT binding from cloned human 5-hydroxytryptamine 7 receptor expressed in COS-7 cells.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"COS-7";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132576";"1";"Scientific Literature";"J Med Chem";"1999";"CHEMBL3307648";"";"";"";"-8.42"
"CHEMBL3331264";"";"None";"381.55";"0";"4.06";"28";"O=c1sc2ccccc2n1CCCCCN1CCN(c2ccccc2)CC1";"Ki";"'='";"20.0";"nM";"7.70";"";"";"UO_0000065";"20.18";"0.39";"3.64";"27.03";"0";"CHEMBL3367561";"Displacement of [3H]5-HT from human 5HT7 receptor transfected in CFO-K1 cells after 30 mins by liquid scintillation spectrometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CFO-K1";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351620";"1";"Scientific Literature";"Eur J Med Chem";"2014";"None";"";"";"";"20.0"
"CHEMBL3216277";"";"None";"557.35";"0";"4.20";"35";"Cl.Cl.Cl.O=c1c2cnc3ccccc3c2ncn1CCCCN1CCN(c2ccccc2Cl)CC1";"Ki";"'='";"153.0";"nM";"6.82";"";"";"UO_0000065";"15.21";"0.29";"2.62";"12.56";"0";"CHEMBL1817054";"Displacement of [3H]-5-CT from human 5-HT7b receptor expressed in HEK293 cells by radioligand binding assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1811770";"1";"Scientific Literature";"Eur J Med Chem";"2011";"CHEMBL3307715";"";"";"";"153.0"
"CHEMBL2113386";"";"None";"495.39";"0";"4.01";"(R)-15e";"O=S(=O)(Cc1ccccc1I)Nc1ccc2[nH]cc(C[C@H]3CCCN3)c2c1";"Ki";"'='";"329.0";"nM";"6.48";"";"";"UO_0000065";"13.09";"0.33";"2.47";"8.76";"0";"CHEMBL828998";"Inhibition of [3H]-LSD binding to 5-hydroxytryptamine 7 receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141169";"1";"Scientific Literature";"J Med Chem";"2005";"CHEMBL3308072";"";"";"";"329.0"
"CHEMBL187928";"";"None";"651.73";"2";"7.32";"3";"O=C(/C=C/c1ccccc1)N(Cc1ccc(-c2ccc(CNCCc3ccccc3)cc2)cc1)Cc1cccnc1.O=C(O)C(F)(F)F";"Ki";"'='";"1258.93";"nM";"5.90";"";"";"UO_0000065";"10.97";"0.20";"-1.42";"13.04";"0";"CHEMBL839732";"Binding affinity towards human 5-hydroxytryptamine receptor 7 expressed in HEK 293 cells using the radioligand [3H]5-CT";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142810";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"CHEMBL3307715";"";"";"";"-5.9"
"CHEMBL259010";"";"None";"429.97";"1";"5.07";"1i";"CCC1(CCCCN2CCN(c3ccc(Cl)cc3)CC2)C(=O)Nc2ccc(F)cc21";"Ki";"'='";"2.81";"nM";"8.55";"";"";"UO_0000065";"19.89";"0.39";"3.48";"24.03";"1";"CHEMBL1837760";"Displacement of [3H]CT from human 5-HT7 receptor expressed in CHO cells by scintillation spectrometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833955";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";"";"2.81"
"CHEMBL408976";"";"None";"411.98";"0";"4.93";"1d";"CCC1(CCCCN2CCN(c3cccc(Cl)c3)CC2)C(=O)Nc2ccccc21";"Ki";"'='";"0.4";"nM";"9.40";"";"";"UO_0000065";"22.81";"0.44";"4.47";"26.41";"1";"CHEMBL1837760";"Displacement of [3H]CT from human 5-HT7 receptor expressed in CHO cells by scintillation spectrometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833955";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";"";"0.4"
"CHEMBL2401934";"";"None";"466.97";"0";"4.29";"6a";"COc1ccc2c(=O)c3cc(CN4CCN(c5ccccc5OC)CC4)ccc3oc2c1.Cl";"Ki";"'='";"1145.0";"nM";"5.94";"";"";"UO_0000065";"13.80";"0.25";"1.65";"10.77";"0";"CHEMBL2406664";"Displacement of [3H]5-CT from human 5HT7b receptor expressed in HEK293 cells after 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2401625";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"CHEMBL3307715";"";"";"";"1145.0"
"CHEMBL323778";"";"None";"494.62";"0";"3.96";"12";"O=c1oc2ccccc2n1C1CCN(CC[C@H]2CCCN2S(=O)(=O)c2ccc3cc[nH]c3c2)CC1";"Ki";"'='";"1.82";"nM";"8.74";"";"";"UO_0000065";"17.67";"0.34";"4.78";"9.55";"0";"CHEMBL619899";"Binding affinity for human cloned 5-hydroxytryptamine 7 receptor in HEK 293 using [3H]5-CT as a radioligand";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134976";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"CHEMBL3307715";"";"";"";"-8.74"
"CHEMBL5189101";"";"None";"437.54";"0";"2.65";"6e";"O=c1n(CCCCCCN2CCN(c3cccc4c3OCCO4)CC2)nc2ccccn12";"Ki";"'='";"271.0";"nM";"6.57";"";"";"UO_0000065";"15.01";"0.28";"3.92";"10.22";"0";"CHEMBL5163615";"Displacement of [3H]-5-CT from human full length 5HT7BR expressed in HEK293 cells by radioligand binding assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5154833";"1";"Scientific Literature";"Eur J Med Chem";"2022";"None";"";"BINDING AGENT";"";"271.0"
"CHEMBL5201984";"";"None";"453.03";"0";"4.79";"6j";"O=c1n(CCCCCCN2CCN(c3cccc(Cl)c3)CC2)c2cccc3c2n1CCC3";"Ki";"'='";"61.0";"nM";"7.21";"";"";"UO_0000065";"15.93";"0.31";"2.42";"21.59";"0";"CHEMBL5163615";"Displacement of [3H]-5-CT from human full length 5HT7BR expressed in HEK293 cells by radioligand binding assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5154833";"1";"Scientific Literature";"Eur J Med Chem";"2022";"None";"";"BINDING AGENT";"";"61.0"
"CHEMBL5204088";"";"None";"489.09";"0";"4.54";"6l";"O=S1(=O)N(CCCCCCN2CCN(c3cccc(Cl)c3)CC2)c2cccc3c2N1CCC3";"Ki";"'='";"162.0";"nM";"6.79";"";"";"UO_0000065";"13.88";"0.28";"2.25";"14.42";"0";"CHEMBL5163615";"Displacement of [3H]-5-CT from human full length 5HT7BR expressed in HEK293 cells by radioligand binding assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5154833";"1";"Scientific Literature";"Eur J Med Chem";"2022";"None";"";"BINDING AGENT";"";"162.0"
"CHEMBL5181868";"";"None";"374.94";"0";"1.82";"6n";"NS(=O)(=O)NCCCCCCN1CCN(c2cccc(Cl)c2)CC1";"Ki";"'='";"167.0";"nM";"6.78";"";"";"UO_0000065";"18.08";"0.39";"4.96";"8.61";"0";"CHEMBL5163615";"Displacement of [3H]-5-CT from human full length 5HT7BR expressed in HEK293 cells by radioligand binding assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5154833";"1";"Scientific Literature";"Eur J Med Chem";"2022";"None";"";"BINDING AGENT";"";"167.0"
"CHEMBL5191370";"";"None";"239.71";"0";"1.54";"5h";"NC(=O)N1CCN(c2cccc(Cl)c2)CC1";"Ki";"'='";"22820.0";"nM";"4.64";"";"";"UO_0000065";"19.36";"0.40";"3.10";"9.36";"0";"CHEMBL5163615";"Displacement of [3H]-5-CT from human full length 5HT7BR expressed in HEK293 cells by radioligand binding assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5154833";"1";"Scientific Literature";"Eur J Med Chem";"2022";"None";"";"BINDING AGENT";"";"22820.0"
"CHEMBL5083607";"";"None";"301.82";"0";"4.43";"3b";"COc1ccccc1-c1cc(C2CCN(C)C2)ccc1Cl";"Ki";"'='";"30.0";"nM";"7.52";"";"";"UO_0000065";"24.93";"0.49";"3.09";"60.33";"0";"CHEMBL5039770";"Displacement of [3H] D-lysergic acid diethylamide from 5-HT7R (unknown origin) transfected in HEK293 cells incubated for 1.5 hrs by microbeta scintillation counter analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5038590";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 1.5 hr";"AGONIST";"";"30.0"
