"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1836783";"";"None";"498.86";"1";"6.38";"1m";"CCC1(CCCCN2CCN(c3ccc(Cl)cc3)CC2)C(=O)Nc2c1cc(Cl)c(F)c2Cl";"Ki";"'='";"96.0";"nM";"7.02";"";"";"UO_0000065";"14.07";"0.30";"0.64";"19.72";"0";"CHEMBL1837760";"Displacement of [3H]CT from human 5-HT7 receptor expressed in CHO cells by scintillation spectrometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833955";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";"";"96.0"
"CHEMBL3262421";"";"None";"323.44";"0";"3.12";"14u";"O=Cc1cccc(NCCCN2CCN(c3ccccc3)CC2)c1";"Ki";"'='";"13.2";"nM";"7.88";"";"";"UO_0000065";"24.36";"0.45";"4.76";"22.15";"0";"CHEMBL3270013";"Displacement of [3H]5-HT from human 5-HT7 receptor expressed in HEK293 cells after 30 mins by microbeta counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3259775";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3307715";"";"";"";"13.2"
"CHEMBL3215835";"";"None";"504.44";"0";"3.69";"41";"Cl.Cl.O=c1c2cnc3ccccc3c2ncn1CCCCN1CCN(c2ccccc2F)CC1";"Ki";"'='";"739.0";"nM";"6.13";"";"";"UO_0000065";"14.21";"0.26";"2.44";"11.30";"0";"CHEMBL1817054";"Displacement of [3H]-5-CT from human 5-HT7b receptor expressed in HEK293 cells by radioligand binding assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1811770";"1";"Scientific Literature";"Eur J Med Chem";"2011";"CHEMBL3307715";"";"";"";"739.0"
"CHEMBL81449";"";"None";"287.41";"0";"2.29";"37";"COc1ccc2ccn(CCN3CCCN(C)CC3)c2c1";"Ki";"'='";"1573.0";"nM";"5.80";"";"";"UO_0000065";"20.19";"0.38";"3.51";"28.12";"0";"CHEMBL620830";"Binding affinity towards human 5-hydroxytryptamine 7 receptor on HEK293 cells using radioligand [3H]LSD";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135860";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"CHEMBL3307715";"";"";"";"1573.0"
"CHEMBL542139";"";"None";"488.46";"0";"4.08";"15, SB-271046";"COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1.Cl";"Ki";"'='";"3981.07";"nM";"5.40";"";"";"UO_0000065";"11.95";"0.25";"1.32";"7.64";"0";"CHEMBL619898";"Compound was tested for its binding affinity against human cloned 5-hydroxytryptamine 7 receptor in HEK 293 cells using [3H]5-CT";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132410";"1";"Scientific Literature";"J Med Chem";"1999";"CHEMBL3307715";"";"";"";"-5.4"
"CHEMBL12702";"";"None";"419.57";"0";"4.21";"1";"COc1ccccc1N1CCN(CCCCC23CCCc4cccc(c42)NC3=O)CC1";"Ki";"'='";"2.138";"nM";"8.67";"";"";"UO_0000065";"20.66";"0.38";"4.46";"19.35";"0";"CHEMBL927089";"Displacement of [3H]LSD from human recombinant 5HT7 receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144747";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3308072";"";"";"";"-8.67"
"CHEMBL12702";"";"None";"419.57";"0";"4.21";"23b";"COc1ccccc1N1CCN(CCCCC23CCCc4cccc(c42)NC3=O)CC1";"Ki";"'='";"5.129";"nM";"8.29";"";"";"UO_0000065";"19.76";"0.37";"4.08";"18.50";"1";"CHEMBL618165";"Binding affinity to human recombinant 5-hydroxytryptamine 7 receptor in mammalian cells using [3H]5-CT as radioligand";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136048";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"-8.29"
"CHEMBL71224";"";"None";"443.59";"1";"5.00";"26d";"COCn1c2c(c3ccccc31)CCN(CCCCC13CCCc4cccc(c41)NC3=O)C2";"Ki";"'='";"16.98";"nM";"7.77";"";"";"UO_0000065";"17.52";"0.32";"2.77";"16.71";"0";"CHEMBL618165";"Binding affinity to human recombinant 5-hydroxytryptamine 7 receptor in mammalian cells using [3H]5-CT as radioligand";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136048";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"-7.77"
"CHEMBL304731";"";"None";"400.57";"1";"5.48";"25b";"Cc1ccc(C2=CCN(CCCCC34CCCc5cccc(c53)NC4=O)CC2)cc1";"Ki";"'='";"4.786";"nM";"8.32";"";"";"UO_0000065";"20.77";"0.38";"2.84";"25.73";"0";"CHEMBL618165";"Binding affinity to human recombinant 5-hydroxytryptamine 7 receptor in mammalian cells using [3H]5-CT as radioligand";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136048";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"-8.32"
"CHEMBL275996";"";"None";"393.38";"0";"4.12";"11";"CC1CCN(CC[C@@H](C)N(C)S(=O)(=O)c2ccc(Cl)c(Cl)c2)CC1";"Ki";"'='";"31.62";"nM";"7.50";"";"";"UO_0000065";"19.07";"0.43";"3.38";"18.46";"0";"CHEMBL619901";"Binding affinity towards cloned human 5-hydroxytryptamine 7 receptor expressed in HEK 293 cells using [3H]5-CT";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3155";"Serotonin 7 (5-HT7) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131479";"1";"Scientific Literature";"J Med Chem";"1998";"CHEMBL3307715";"";"";"";"-7.5"
