molecule_id,canonical_smiles,"Serotonin (5-HT) receptor","Serotonin 1 (5-HT1) receptor","Serotonin 1 receptors; 5-HT1B & 5-HT1D","Serotonin 1a (5-HT1a) receptor","Serotonin 1b (5-HT1b) receptor","Serotonin 1d (5-HT1d) receptor","Serotonin 1e (5-HT1e) receptor","Serotonin 1f (5-HT1f) receptor","Serotonin 2 (5-HT2) receptor","Serotonin 2 receptors; 5-HT2a & 5-HT2c","Serotonin 2a (5-HT2a) receptor","Serotonin 2b (5-HT2b) receptor","Serotonin 2c (5-HT2c) receptor","Serotonin 3 (5-HT3) receptor","Serotonin 3a (5-HT3a) receptor","Serotonin 3b (5-HT3b) receptor","Serotonin 4 (5-HT4) receptor","Serotonin 5a (5-HT5a) receptor","Serotonin 5b (5-HT5b) receptor","Serotonin 6 (5-HT6) receptor","Serotonin 7 (5-HT7) receptor"
301214,CC1CNCCc2cccc(Cl)c21,,,,,,,,,,,,,6.065,,,,,,,,
301215,CC1CNCCc2ccc(F)cc21,,,,,,,,,,,5.8,,6.395,,,,,,,,
301216,C[C@@H]1CNCCc2ccc(Cl)cc21,,,,,,,,,,,6.59,5.875,7.8,,,,,,,,
301223,CC1CNCCc2ccc(Br)cc21,,,,,,,,,,,6.295,5.76,7.96,,,,,,,,
301235,CC1CNCCc2ccc(C(F)(F)F)cc21,,,,,,,,,,,7.0,6.26,8.175,,,,,,,,
301237,C[C@H]1CNCCc2ccc(Cl)c(Cl)c21,,,,,,,,,,,5.61,,6.57,,,,,,,,
301243,C[C@@H]1CNCCc2ccc(Cl)c(Cl)c21,,,,,,,,,,,6.885,5.9,8.51,,,,,,,,
301257,COc1ccc2c(c1)C(C)CNCC2,,,,,,,,,,,6.315,5.705,6.54,,,,,,,,
301258,CC1CNCCc2ccccc21,,,,,,,,,,,5.8,5.4,6.485,,,,,,,,
301768,O=C(O)C(=O)O.O=C(c1ccccc1)c1ccc(N2CCNCC2)c2ccccc12,,,,,,,,,,,,,,,,,,,,7.24,
301785,O=C(O)C(=O)O.c1ccc(Cc2ccc(N3CCNCC3)c3ccccc23)cc1,,,,,,,,,,,,,,,,,,,,7.46,
301808,O=C(O)C(=O)O.O=S(=O)(c1ccccc1)c1ccc(N2CCNCC2)c2ccccc12,,,,,,,,,,,,,,,,,,,,8.42,
301852,Nc1ccc(S(=O)(=O)c2cccc3ccccc23)cc1,,,,,,,,,,,,,,,,,,,,7.47,
301935,Brc1ccc(N2CCNCC2)c2ccccc12.O=C(O)C(=O)O,,,,,,,,,,,,,,,,,,,,7.27,
301953,O=C(O)C(=O)O.c1ccc(-c2ccc(N3CCNCC3)c3ccccc23)cc1,,,,,,,,,,,,,,,,,,,,6.72,
302003,O=C(NCC1CCN(CCCS(=O)(=O)N2CCOCC2)CC1)c1cccc2c1OCCO2,,,,,,,,,,,,,,,,,9.4,,,,
302057,CC1(C)CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1,,,,,,,,,,,,,,,,,9.9,,,,
302080,CCCC1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1,,,,,,,,,,,,,,,,,10.2,,,,
302086,O=C(NCC1CCN(CCCS(=O)(=O)N2CCCCC2)CC1)c1cccc2c1OCCO2,,,,,,,,,,,,,,,,,9.7,,,,
302099,O=C(NCC1CCN(CCCS(=O)(=O)N2CCC3(CCCC3)CC2)CC1)c1cccc2c1OCCO2,,,,,,,,,,,,,,,,,10.6,,,,
302116,CC(C)S(=O)(=O)N1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1,,,,,,,,,,,,,,,,,9.9,,,,
302117,O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(S(=O)(=O)c3ccc(F)cc3)CC2)CC1)c1cccc2c1OCCO2,,,,,,,,,,,,,,,,,10.5,,,,
302119,O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(C3CCCC3)CC2)CC1)c1cccc2c1OCCO2,,,,,,,,,,,,,,,,,10.8,,,,
302127,O=C(NCC1CCN(CCCS(=O)(=O)N2CCNCC2)CC1)c1cccc2c1OCCO2,,,,,,,,,,,,,,,,,9.8,,,,
302132,O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(S(=O)(=O)N3CCCC3)CC2)CC1)c1cccc2c1OCCO2,,,,,,,,,,,,,,,,,10.1,,,,
302133,O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(c3ccc(F)cc3)CC2)CC1)c1cccc2c1OCCO2,,,,,,,,,,,,,,,,,10.3,,,,
302139,CN1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1,,,,,,,,,,,,,,,,,9.6,,,,
302145,O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(c3ccccn3)CC2)CC1)c1cccc2c1OCCO2,,,,,,,,,,,,,,,,,9.6,,,,
302158,CCN1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1,,,,,,,,,,,,,,,,,10.3,,,,
302170,O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(C(=O)c3ccco3)CC2)CC1)c1cccc2c1OCCO2,,,,,,,,,,,,,,,,,10.0,,,,
302173,CCCN1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1,,,,,,,,,,,,,,,,,10.5,,,,
302175,CC(=O)N1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1,,,,,,,,,,,,,,,,,9.9,,,,
302184,O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(Cc3cccnc3)CC2)CC1)c1cccc2c1OCCO2,,,,,,,,,,,,,,,,,9.8,,,,
302193,CC(C)N1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1,,,,,,,,,,,,,,,,,10.5,,,,
302198,CS(=O)(=O)N1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1,,,,,,,,,,,,,,,,,9.5,,,,
302207,CCC(C)N1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1,,,,,,,,,,,,,,,,,10.6,,,,
302214,CCCS(=O)(=O)N1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1,,,,,,,,,,,,,,,,,10.0,,,,
302900,CN(C)c1nc(N[C@H]2CC[C@@H](NC(=O)c3ccc(F)c(F)c3)CC2)nc2ccccc12,,,,7.77,,,,,,,,7.42,,,,,,,,,
303071,COc1ccc(S(=O)(=O)c2cc(OC)ccc2S(=O)(=O)c2ccc([C@H](C)NS(C)(=O)=O)cc2)cc1,,,,,,,,,,,,,,,,,,,,6.55,
303730,CC(COc1ccc2c(c1)NC(=O)CO2)NCC(O)COc1cccc2[nH]ccc12,,,,8.7,,,,,,,,,,,,,,,,,
303746,O=C1COc2ccc(CC3CCN(CCOc4cccc5ncccc45)CC3)cc2N1,,,,8.9,,,,,,,,,,,,,,,,,
303756,O=C1COc2ccc(OC3CCN(CCOc4cccc5ccccc45)CC3)cc2N1,,,,8.6,,,,,,,,,,,,,,,,,
303760,O=C1COc2ccc(OCCNCCCOc3cccc4[nH]ccc34)cc2N1,,,,8.8,,,,,,,,,,,,,,,,,
303772,Cc1ccc2c(OCCN3CCC(Cc4ccc5c(c4)NC(=O)CO5)CC3)cccc2n1,,,,9.0,8.0,8.8,,,,,5.5,5.8,,,,,,,,,6.7
303787,O=C1COc2ccc(OC3CCN(CCOc4cccc5ncccc45)CC3)cc2N1,,,,7.9,,,,,,,,,,,,,,,,,
303810,O=C1COc2ccc(OCC3CCN(CCOc4cccc5ncccc45)C3)cc2N1,,,,8.9,,,,,,,,,,,,,,,,,
303837,O=C1COc2ccc(OCC3CCCN(CCOc4cccc5ncccc45)C3)cc2N1,,,,8.8,,,,,,,,,,,,,,,,,
303860,CC1(C)OC2C=CC=CC2=C1OCCN1CCC(Oc2ccc3c(c2)NC(=O)CO3)CC1,,,,8.7,,,,,,,,,,,,,,,,,
303865,O=C1COc2ccc(CN3CCN(CCOc4cccc5ncccc45)CC3)cc2N1,,,,8.0,,,,,,,,,,,,,,,,,
303922,O=C1COc2ccc(OC3CCN(CCOc4nccc5ccccc45)CC3)cc2N1,,,,8.1,,,,,,,,,,,,,,,,,
303946,O=C1COc2ccc(OC3CCN(CCOc4ccnc5ccccc45)CC3)cc2N1,,,,7.0,,,,,,,,,,,,,,,,,
303978,O=C1COc2ccc(OC3CCN(CCOc4cccc5cccnc45)CC3)cc2N1,,,,8.2,,,,,,,,,,,,,,,,,
304246,CCCN(CCC)[C@H]1COc2c(cccc2-c2c(OC)cccc2OC)C1,,,,6.76,,,,,,,,,,,,,,,,,8.19
304247,COc1cccc(OC)c1-c1cccc2c1OC[C@H](N(C)C)C2,,,,,,,,,,,,,,,,,,,,,8.435
304272,COc1cccc(OC)c1-c1ccc2c(c1)C[C@H](N(C)C)CO2,,,,,,,,,,,,,,,,,,,,,6.43
304273,Cc1cccc(C)c1-c1ccc2c(c1)C[C@H](N(C)C)CO2,,,,,,,,,,,,,,,,,,,,,7.87
304333,COc1c(-c2ccc3c(c2)C[C@H](N(C)C)CO3)ccc2ccccc12,,,,,,,,,,,,,,,,,,,,,7.12
304460,CCCCN1CCC(CNC(=O)c2cccc3c2OCCO3)CC1,,,,,,,,,,,,,,,,,9.1,,,,
305058,CCN(C(=O)Cc1ccc(S(=O)(=O)N(C)C)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,,,,,,,,,,,6.1,,,,,,,,,,
305708,CCOCCn1cc(C2CCN(CCOc3cc(OC)ccc3C(=O)O)CC2)c2ccccc21,,,,,,,,,5.41,,,,,,,,,,,,
305734,CCCCn1cc(C2CCN(CCOc3cc(OC)ccc3C(=O)O)CC2)c2ccccc21,,,,,,,,,5.0,,,,,,,,,,,,
305864,COc1ccc(CN2CCC(c3cn(Cc4ccc(Cl)s4)c4ccccc34)CC2)cc1C(=O)O,,,,,,,,,5.0,,,,,,,,,,,,
305871,CCOCCn1cc(C2CCN(Cc3cccc(C(=O)O)c3)CC2)c2ccccc21,,,,,,,,,5.3,,,,,,,,,,,,
305892,COc1ccc(C(=O)O)c(OCCN2CCC(c3cn(Cc4ccoc4)c4ccccc34)CC2)c1,,,,,,,,,5.12,,,,,,,,,,,,
305895,O=C(O)c1cccc(CN2CCC(c3cn(Cc4ccoc4)c4ccccc34)CC2)c1,,,,,,,,,5.0,,,,,,,,,,,,
305906,CCOCCn1cc(C2CCN(CCOc3ccccc3C=O)CC2)c2ccccc21,,,,,,,,,5.49,,,,,,,,,,,,
305926,CCOCCn1cc(C2CCN(Cc3ccc(OC)c(C(=O)O)c3)CC2)c2ccccc21,,,,,,,,,5.0,,,,,,,,,,,,
305954,O=C(O)c1ccccc1OCCN1CCC(c2cn(Cc3ccoc3)c3ccccc23)CC1,,,,,,,,,5.0,,,,,,,,,,,,
305955,COc1ccc(CN2CCC(c3cn(Cc4ccoc4)c4ccccc34)CC2)cc1C(=O)O,,,,,,,,,5.0,,,,,,,,,,,,
306485,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC,,,,,,,,,,,,,5.2,,,,,,,,
306625,CC(Nc1nc(N)nc(NCCCc2ccccc2)n1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,7.22
306631,CC(Nc1nc(N)nc(NCCOc2ccccc2)n1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,8.31
306632,C[C@H](Nc1cncc(NCCOc2ccccc2)c1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,8.4
306639,C[C@H](Nc1cncc(NCCOc2ccc(F)cc2)c1)c1ccccc1,,,,,,,,,,,,,6.32,,,,,,,,8.4
306673,C[C@H](Nc1cncc(NCCc2ccccc2)c1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,7.89
306674,C[C@H](Nc1cncc(NCCc2ccc(F)cc2)c1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,7.8
306734,C[C@H](Nc1nc(N)nc(NCCc2ccc(F)cc2)n1)c1ccc(F)cc1,,,,,,,,,,,,,7.7,,,,,,,6.76,8.7
306745,C[C@H](Nc1nc(N)nc(NCCc2ccccn2)n1)c1ccc(F)cc1,,,,,,,,,,,,,6.8,,,,,,,,8.05
306750,C[C@H](Nc1nc(NCCOc2ccccc2)nc(N(C)C)n1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,7.64
306751,Cc1nc(NCCOc2ccccc2)nc(N[C@@H](C)c2ccccc2)n1,,,,,,,,,,,,,,,,,,,,,7.27
306787,C[C@H](Nc1ncnc(NCCOc2ccccc2)n1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,8.52
306794,C[C@H](Nc1nc(F)nc(NCCOc2ccccc2)n1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,8.0
306795,C[C@H](Nc1ccnc(NCCOc2ccccc2)c1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,9.4
306798,C[C@@H](Nc1nc(N)nc(NCCOc2ccc(F)cc2)n1)c1ccc(F)cc1,,,,,,,,,,,,,,,,,,,,,7.44
306799,CC(Nc1nc(N)nc(NCCc2ccccc2)n1)c1ccc(F)cc1,,,,,,,,,,,,,,,,,,,,,8.1
306802,C[C@H](Nc1ccnc(NCCOc2ccc(F)cc2)c1)c1ccccc1,,,,,,,,,,,,,7.82,,,,,,,,9.7
306829,CC(Nc1nc(N)nc(NCCOc2ccc(F)cc2)n1)c1ccc(F)cc1,,,,,,,,,,,,,,,,,,,,,8.5
306832,C[C@H](Nc1nc(N)nc(NCCOc2ccccc2)n1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,8.52
306836,C[C@H](Nc1nc(N)nc(NCCOc2ccc(F)cc2)n1)c1ccc(F)cc1,,,,,,,,,,,,,,,,,,,,,8.7
306840,C[C@H](Nc1ccnc(NCCc2ccccc2)c1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,9.52
306841,C[C@H](Nc1ccnc(NCCc2ccc(F)cc2)c1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,9.4
306874,CC(Nc1nc(N)nc(NCCc2cccs2)n1)c1ccc(F)cc1,,,,,,,,,,,,,8.0,,,,,,,6.42,8.7
306875,C[C@H](Nc1cc(NCCc2ccccc2)ncn1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,7.48
306904,CC(Nc1nccc(NCCc2ccccc2)n1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,8.22
306905,CC(Nc1nccc(NCCOc2ccc(F)cc2)n1)c1ccccc1,,,,,,,,,,,,,7.4,,,,,,,,9.0
306912,c1ccc2c(N3CCN(CCc4ccc5c(c4)NCN5)CC3)cccc2c1,,,,6.9,,,,,,,7.82,,7.19,,5.28,,,,,,
306956,C[C@H](Nc1ccnc(NCCOc2ccccc2)n1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,8.7
306964,C[C@H](Nc1ccnc(NCCOc2ccc(F)cc2)n1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,9.52
306965,COc1ccccc1N1CCN(CCc2ccc3[nH]nnc3c2)CC1,,,,7.1,,,,,,,6.85,,7.35,,,,,,,,
306968,C[C@H](Nc1cc(NCCc2ccc(F)cc2)ncn1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,8.3
306969,C[C@H](Nc1cc(NCCOc2ccc(F)cc2)ncn1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,8.3
306972,Oc1nc2cc(CCN3CCN(c4cccc(C(F)(F)F)c4)CC3)ccc2[nH]1,,,,7.06,,,,,,,5.81,,,,,,,,,,
306984,C[C@H](Nc1ccnc(NCCc2ccccc2)n1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,9.22
306985,CC(Nc1ccnc(NCCc2ccc(F)cc2)n1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,8.22
306991,Cc1cccc(N2CCN(CCc3ccc4[nH]nnc4c3)CC2)c1C,,,,7.08,,,,,,,8.29,,7.84,,,,,,,,
306992,c1ccc2c(N3CCN(CCc4ccc5[nH]nnc5c4)CC3)cccc2c1,,,,7.41,,,,,,,7.98,,7.26,,,,,,,,
307004,C[C@H](Nc1cc(NCCOc2ccccc2)ccn1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,9.4
307005,C[C@H](Nc1cc(NCCOc2ccc(F)cc2)ccn1)c1ccccc1,,,,,,,,,,,,,7.89,,,,,,,,9.4
307039,Cc1cc(NC(C)C)nc2ccc(NC(=O)COc3ccc(C(F)(F)F)cc3)cc12,,,,,,,,,,,,6.4,,,,,,,,,
307054,C[C@H](Nc1cc(NCCc2ccccc2)ccn1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,8.52
307055,C[C@H](Nc1cc(NCCc2ccc(F)cc2)ccn1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,8.4
307059,c1ccc(-c2nc3cc(CCN4CCN(c5ccccc5)CC4)ccc3[nH]2)cc1,,,,6.76,,,,,,,6.12,,,,,,,,,,
307081,Cc1cc(N2CCN(C)CC2)nc2ccc(NC(=O)COc3ccc(Cl)cc3)cc12,,,,,,,,,,,5.66,6.46,6.01,,,,,,,,
307109,Cc1cc(N2CCN(C)CC2)nc2ccc(NC(=O)COc3ccc(C(F)(F)F)cc3)cc12,,,,,,,,,,,,6.36,,,,,,,,,
307262,COc1ccccc1N1CCN(CCCCNC(=O)c2cc3cc(I)ccc3s2)CC1,,,,7.57,,,,,,,,,,,,,,,,,
307293,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2cc(I)ccc2o1,,,,6.89,,,,,,,,,,,,,,,,,
307304,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(I)s1,,,,7.62,,,,,,,,,,,,,,,,,
307308,Cc1cc(N2CCN(C)CC2)nc2ccc(NC(=O)COc3cccc(Cl)c3Cl)cc12,,,,,,,,,,,,6.7,,,,,,,,,
307319,COc1ccccc1N1CCN(CCCCNC(=O)c2cc3cc(I)ccc3o2)CC1,,,,7.48,,,,,,,,,,,,,,,,,
307331,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2cc(I)ccc2s1,,,,7.34,,,,,,,,,,,,,,,,,
307336,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(I)s2)CC1,,,,8.0,,,,,,,,,,,,,,,,,
307645,CCCc1c(CCN(C)C)c2cc(OC)ccc2n1S(=O)(=O)c1ccccc1,,,,,,,,,,,,,,,,,,,,8.64,
307696,CN(C)CC[N+]1=CCc2ccccc21,,,,,,,,,,,,,,,,,,,,5.72,
308422,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,,,,5.76,,,,,,,,,,,,,,,,,
308701,Cc1cc(Br)cc(C)c1N=C1NCCN1,,,,,5.84,7.27,,,,,,,,,,,,,,,
308702,Cc1cc([N+](=O)[O-])cc(C)c1NC1=NCCN1,,,,,4.99,6.48,,,,,,,,,,,,,,,
308744,Cc1cccc(C)c1N=C1NCCN1,,,,,,5.68,,,,,,,,,,,,,,,
308747,Cc1cc(C(C)(C)C)cc(C)c1NC1=NCCN1,,,,,7.92,9.52,,,,,,,,,,,,,,,
308762,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1Cc1ccccc1,,,,,5.73,7.52,,,,,,,,,,,,,,,
308769,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCCN1,,,,,5.35,7.48,,,,,,,,,,,,,,,
308800,Clc1cc(I)cc(Cl)c1N=C1NCCN1,,,,,5.7,7.3,,,,,,,,,,,,,,,
309054,CN1CCN(c2nc3ncccc3cc2C#N)CC1,,,,,,,,,,,,,,,7.4,,,,,,
309256,O=C(N[C@H]1CCN(Cc2ccccc2)C1)c1ccc(-c2cccs2)cc1,,,,,,,,,,,8.74,,,,,,,,,,
309452,O=C(N[C@H]1CCN(Cc2ccccc2)C1)c1cccc(-c2cccs2)c1,,,,,,,,,,,6.34,,,,,,,,,,
310346,O[C@H](COc1cccc2[nH]ccc12)CN1C2C=C(c3ccc4ccccc4c3)CC1CC2,,,,6.76,,,,,,,,,,,,,,,,,
310361,C1=C(c2c[nH]c3ccccc23)CC2CCC1N2CCOc1cccc2[nH]ccc12,,,,6.95,,,,,,,,,,,,,,,,,
310431,C1=C(c2cc3ccccc3[nH]2)CC2CCC1N2CCOc1cccc2ncccc12,,,,6.5,,,,,,,,,,,,,,,,,
310514,O[C@H](COc1cccc2[nH]ccc12)CN1C2C=C(c3ccc(Cl)c(Cl)c3)CC1CC2,,,,6.97,,,,,,,,,,,,,,,,,
310613,CNCCn1cc(S(=O)(=O)c2cccc3ccccc23)c2ccccc21,,,,,,,,,,,,,,,,,,,,7.345,
310623,CN(C)CCn1cc(S(=O)(=O)Cc2ccccc2)c2ccccc21,,,,,,,,,,,,,,,,,,,,6.0,
310637,C1=C(c2ccc3ccccc3c2)CC2CCC1N2CCOc1cccc2[nH]ccc12,,,,6.53,,,,,,,,,,,,,,,,,
310680,NCCn1cc(S(=O)(=O)c2ccccc2)c2cc(F)ccc21,,,,,,,,,,,,,,,,,,,,7.57,
310681,CNCCn1cc(S(=O)(=O)c2ccccc2)c2ccccc21,,,,,,,,,,,,,,,,,,,,7.81,
310701,NCCn1cc(S(=O)(=O)c2ccccc2)c2ccc(Cl)cc21,,,,,,,,,,,,,,,,,,,,6.85,
310755,NCCn1cc(S(=O)(=O)c2ccccc2)c2ccccc21,,,,,,,,,,,,,,,,,,,,7.31666666666667,
310769,CN(C)CCn1cc(S(=O)(=O)c2ccccc2)c2ccccc21,,,,,,,,,,,,,,,,,,,,7.28,
310775,COc1ccc2c(S(=O)(=O)c3ccccc3)cn(CCN(C)C)c2c1,,,,,,,,,,,,,,,,,,,,7.64,
310798,NCCc1cn(S(=O)(=O)c2ccccc2)c2ccccc12,,,,,,,,,,,,,,,,,,,,7.71,
310814,CNCCc1cn(S(=O)(=O)c2ccccc2)c2ccccc12,,,,,,,,,,,,,,,,,,,,8.3,
310823,Cc1ccc(S(=O)(=O)c2cn(CCN(C)C)c3ccccc23)cc1,,,,,,,,,,,,,,,,,,,,7.24,
310830,CN(C)CCn1cc(S(=O)(=O)c2cccc(F)c2)c2ccccc21,,,,,,,,,,,,,,,,,,,,7.92333333333333,
310838,CN(C)CCn1cc(S(=O)(=O)c2ccccc2)c2c(F)cccc21,,,,,,,,,,,,,,,,,,,,7.01,
310865,CN(C)CCn1cc(S(=O)(=O)c2ccccc2)c2ccc(F)cc21,,,,,,,,,,,,,,,,,,,,7.34,
310866,CN(C)CCn1cc(S(=O)(=O)c2ccccc2)c2ccc(Cl)cc21,,,,,,,,,,,,,,,,,,,,7.38,
310877,Cc1c(S(=O)(=O)c2ccccc2)c2ccccc2n1CCN(C)C,,,,,,,,,,,,,,,,,,,,7.75,
310906,CN(C)CCn1cc(S(=O)(=O)c2ccccc2OC(F)(F)F)c2ccccc21,,,,,,,,,,,,,,,,,,,,6.95,
310907,CN(C)CCn1cc(S(=O)(=O)c2cccc3ccccc23)c2ccccc21,,,,,,,,,,,,,,,,,,,,7.88,
310917,CN(C)CCn1cc(S(=O)(=O)c2ccccc2)c2cc(F)ccc21,,,,,,,,,,,,,,,,,,,,7.36,
310918,COc1cccc2c(S(=O)(=O)c3ccccc3)cn(CCN(C)C)c12,,,,,,,,,,,,,,,,,,,,7.62,
311061,COc1ccccc1N1CCN(C/C=C/CN2C(=O)CCC2=O)CC1,,,,7.54,,,,,,,,,,,,,,,,,7.2
311086,CN1CCC(C2CNc3ccc(NC(=O)c4ccc(F)cc4)cc32)CC1,,,,6.60666666666667,,5.64,,8.04666666666667,,,,,,,,,,,,,
311100,COc1ccccc1N1CCN([C@H]2CC[C@H](N3C(=O)CCC3=O)CC2)CC1,,,,7.82,,,,,,,,,,,,,,,,,4.94
311102,COc1ccccc1N1CCN(C/C=C\CN2C(=O)c3ccccc3C2=O)CC1,,,,7.11,,,,,,,,,,,,,,,,,6.45
311131,CN1CCC(c2noc3ccc(NC(=O)c4ccc(F)cc4)cc23)CC1,,,,6.8,,,,7.77,,,,,,,,,,,,,
311132,CN1CCC(n2ncc3ccc(NC(=O)c4ccc(F)cc4)cc32)CC1,,,,6.51,5.62,,,8.39,,,,,,,,,,,,,
311143,COc1ccccc1N1CCN(C/C=C\CN2C(=O)CCC2=O)CC1,,,,6.8,,,,,,,,,,,,,,,,,6.1
311144,COc1ccccc1N1CCN(Cc2ccccc2CN2C(=O)CCC2=O)CC1,,,,6.38,,,,,,,,,,,,,,,,,6.04
311153,COc1ccccc1N1CCN(C/C=C/CN2C(=O)c3ccccc3C2=O)CC1,,,,8.3,,,,,,,,,,,,,,,,,7.44
311175,CN1CCC(N2CCc3ccc(NC(=O)c4ccc(F)cc4)cc32)CC1,,,,7.92,6.36,6.68,,8.32,,,,,,,,,,,,,
311176,CN1CCC(N2CCOc3ccc(NC(=O)c4ccc(F)cc4)cc32)CC1,,,,6.07,,5.64,,6.28,,,,,,,,,,,,,
311185,CN1CCC(c2n[nH]c3ccc(NC(=O)c4ccc(F)cc4)cc23)CC1,,,,6.06,5.64,5.51,,8.41,,,,,,,,,,,,,
311190,COc1ccccc1N1CCN(Cc2ccccc2CN2C(=O)c3ccccc3C2=O)CC1,,,,6.39,,,,,,,,,,,,,,,,,6.43
311213,CN1CCC(n2ccc3ccc(NC(=O)c4ccc(F)cc4)cc32)CC1,,,,7.96,6.58,6.85,,8.66,,,,,,,,,,,,,
311292,COc1ccccc1N1CCN([C@H]2CC[C@H](N3C(=O)c4ccccc4C3=O)CC2)CC1,,,,8.1,,,,,,,,,,,,,,,,,5.69
311302,CN1CCC(c2noc3ccc(NC(=O)c4ccc(F)cc4F)cc23)CC1,,,,,,,,7.125,,,,,,,,,,,,,
311309,CN1CCC(c2noc3ccc(NC(=O)c4ccc(F)cc4Cl)cc23)CC1,,,,,,,,7.645,,,,,,,,,,,,,
311351,CN1CCC(N2CNc3ccc(NC(=O)c4c(F)cc(F)cc4F)cc32)CC1,,,,,,,,7.535,,,,,,,,,,,,,
311361,CN1CCC(N2CNc3ccc(NC(=O)c4ccc(F)cc4Cl)cc32)CC1,,,,,,,,7.545,,,,,,,,,,,,,
311714,CCCN(CCC)[C@H]1CCc2c(cccc2-c2ccc(OC)cc2)C1,,,,8.83,,,,,,,,,,,,,,,,,7.91
311791,CCCN(CCC)[C@H]1CCc2c(cccc2-c2ccccc2)C1,,,,8.645,,,,,,,,,,,,,,,,,8.16
311792,CCCN(CCC)[C@H]1CCc2c(cccc2-c2ccccc2OC)C1,,,,7.93,,,,,,,,,,,,,,,,,8.76
311832,CCCN(CCC)[C@H]1COc2c(cccc2-c2ccc(OC)cc2)C1,,,,8.88,,,,,,,,,,,,,,,,,7.9
311860,CCCN(CCC)[C@H]1COc2c(cccc2-c2ccccc2OC)C1,,,,7.99,,,,,,,,,,,,,,,,,8.57
311866,CCCN(CCC)[C@@H]1COc2c(cccc2-c2ccccc2OC)C1,,,,6.17,,,,,,,,,,,,,,,,,6.44
311875,Cc1cc(N2CCN(C)CC2)nc2ccc(NC(=O)COc3ccc(Cl)cc3Cl)cc12,,,,,,,,,,,,,6.21,,,,,,,,
311897,COc1cccc(OC)c1-c1cccc2c1CC[C@H](N(C)C)C2,,,,5.85,,,,,,,5.87,,,,,,,,,,8.59
