molecule_id,canonical_smiles,"Serotonin (5-HT) receptor","Serotonin 1 (5-HT1) receptor","Serotonin 1 receptors; 5-HT1B & 5-HT1D","Serotonin 1a (5-HT1a) receptor","Serotonin 1b (5-HT1b) receptor","Serotonin 1d (5-HT1d) receptor","Serotonin 1e (5-HT1e) receptor","Serotonin 1f (5-HT1f) receptor","Serotonin 2 (5-HT2) receptor","Serotonin 2 receptors; 5-HT2a & 5-HT2c","Serotonin 2a (5-HT2a) receptor","Serotonin 2b (5-HT2b) receptor","Serotonin 2c (5-HT2c) receptor","Serotonin 3 (5-HT3) receptor","Serotonin 3a (5-HT3a) receptor","Serotonin 3b (5-HT3b) receptor","Serotonin 4 (5-HT4) receptor","Serotonin 5a (5-HT5a) receptor","Serotonin 5b (5-HT5b) receptor","Serotonin 6 (5-HT6) receptor","Serotonin 7 (5-HT7) receptor"
924,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,,,,,,,,,,,4.75,4.67,,,,,,,,,
996,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,8.3,5.3,,5.27,,,,,8.08,,7.005,6.23,7.16666666666667,,,,,,,6.83333333333333,
1004,C[C@@H](N)Cc1c2ccoc2c(C(F)(F)F)c2ccoc12.Cl,,,,,,,,,,,8.98,,9.4,,,,,,,,
1005,C[C@H](N)Cc1c2ccoc2c(Br)c2ccoc12.Cl,,,,,,,,,,,8.445,,9.6,,,,,,,,
1006,C[C@@H](N)Cc1c2ccoc2c(Br)c2ccoc12.Cl,,,,,,,,,,,9.04,,9.96,,,,,,,,
1044,C[C@@H](N)Cc1c2c(c(Br)c3c1OCC3)OCC2.Cl,,,,,,,,,,,8.5,,9.59,,,,,,,,
1048,C[C@H](N)Cc1c2ccoc2cc2ccoc12.Cl,,,,,,,,,,,6.805,,8.22,,,,,,,,
1053,C[C@@H](N)Cc1c2c(c(C(F)(F)F)c3c1OCC3)OCC2.Cl,,,,,,,,,,,8.35,,8.72,,,,,,,,
1087,C[C@H](N)Cc1c2c(c(Br)c3c1OCC3)OCC2.Cl,,,,,,,,,,,8.025,,8.96,,,,,,,,
1088,COc1cc(C(F)(F)F)c(OC)cc1CC(C)N,,,,5.65,,,,,,,7.77,,8.42,,,,,,,,
1090,COc1cc(CC(C)N)c(OC)cc1Br,7.35,5.48,,8.21,,,,,7.77857142857143,,7.89842105263158,7.35,7.722,,,,,,,,
1114,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,,,,,,,,,,,,,,,,,5.49,,,,
1186,CN1CCN(c2nc3ccccc3nc2O)CC1,,,,,,,,,,,,,,,7.9,,,,,,
1202,N=C(N)N/N=C/c1c(Cl)cccc1Cl,,,,5.94333333333333,,,,,,,6.68,7.11,6.83,,,,,,,,
1203,C[C@@H](N)Cc1c2ccoc2cc2ccoc12.Cl,,,,,,,,,,,7.525,,9.1,,,,,,,,
1204,C[C@H](N)Cc1c2c(c(C(F)(F)F)c3c1OCC3)OCC2.Cl,,,,,,,,,,,8.11,,8.8,,,,,,,,
1205,C[C@@H](N)Cc1c2c(cc3c1OCC3)OCC2.Cl,,,,,,,,,,,6.255,,8.09,,,,,,,,
1219,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,,,,5.58,,,,,,,6.1725,6.745,6.41,,,,,,,,
1239,C[C@H](N)Cc1c2c(cc3c1OCC3)OCC2.Cl,,,,,,,,,,,6.135,,6.92,,,,,,,,
1279,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,,,,5.0,,,,,,,,,,,,,,,,,
1325,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,,,,5.42333333333333,,,,,8.63,,6.945,6.4,5.83,,4.77,,,,,,
1370,CC(C)NCC(O)COc1cccc2ccccc12,,,,6.5625,7.3,,,,,,6.08666666666667,6.2775,5.71,,,,,,,5.68,
1725,CC(C)NCC(O)COc1ccccc1,,,,6.77,,,,,,,,,,,,,,,,,
1785,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,,,,6.68,,,,,,,,5.615,,,,,,,,,
1807,COc1ccc2c(c1)c(CCN(C)C)cn2C(C)C,,,,,,,,,,,,,,,,,,,,6.89,
